District,Crop,Season,Year,Area_Cultivated,Rainfall,Temperature,Population,Production,Demand
Prakasam,Maize,Summer,2021,24896,527.0,23.21,3300000,97550.16,198441.65
Guntur,Maize,Summer,2023,29155,1089.84,32.26,2100000,91041.77,99813.6
YSR Kadapa,Cotton,Rabi,2014,19288,692.44,35.05,3300000,14739.53,48126.55
Vizianagaram,Rice,Kharif,2015,22415,546.42,34.04,3300000,83307.51,323887.74
Srikakulam,Rice,Kharif,2012,37085,830.4,35.07,3000000,135478.43,447886.17
YSR Kadapa,Groundnut,Summer,2011,12251,427.9,32.65,3300000,19201.17,72142.47
Krishna,Rice,Rabi,2016,37884,533.45,33.77,4200000,113169.45,574929.69
Prakasam,Cotton,Kharif,2020,26574,791.62,26.35,3300000,22951.89,41375.28
Visakhapatnam,Groundnut,Rabi,2014,10623,513.77,37.89,3600000,19829.67,104648.11
East Godavari,Groundnut,Kharif,2018,21936,911.21,24.93,2100000,30706.02,51987.55
Prakasam,Maize,Summer,2012,7123,742.34,25.43,3300000,30724.3,199130.68
Vizianagaram,Maize,Rabi,2023,4061,994.79,26.62,3300000,13748.79,207404.46
Vizianagaram,Rice,Rabi,2017,41857,1153.42,37.61,3300000,106793.54,445673.54
Srikakulam,Groundnut,Kharif,2015,37499,404.22,37.81,3000000,59141.86,85751.35
Krishna,Maize,Kharif,2013,40095,601.2,34.72,4200000,116841.62,207221.79
Guntur,Cotton,Kharif,2021,29451,587.59,32.06,2100000,26721.5,19753.04
Srikakulam,Maize,Rabi,2021,17361,436.06,30.32,3000000,76541.98,123606.72
Srikakulam,Chilies,Summer,2018,16907,1029.27,37.53,3000000,31162.81,15885.83
East Godavari,Chilies,Summer,2014,35814,983.89,33.13,2100000,67815.53,14619.46
Kurnool,Maize,Kharif,2019,20605,735.98,37.12,4200000,103079.11,178269.04
Krishna,Groundnut,Summer,2015,33256,783.99,27.06,4200000,35311.89,98864.98
Chittoor,Groundnut,Kharif,2023,12332,353.59,27.34,2000000,19200.59,51454.08
Srikakulam,Sugarcane,Summer,2022,38832,799.96,35.68,3000000,3408718.29,831478.27
West Godavari,Chilies,Rabi,2018,30476,1012.21,24.4,4300000,76092.01,25980.63
Kurnool,Cotton,Kharif,2016,10445,816.44,37.13,4200000,8780.43,39077.81
Chittoor,Groundnut,Summer,2021,34490,538.78,30.12,2000000,48048.26,59007.02
West Godavari,Rice,Rabi,2014,30767,900.79,36.82,4300000,81769.38,372490.1
Krishna,Chilies,Summer,2011,47057,625.34,27.39,4200000,75693.12,28104.29
Anantapur,Cotton,Rabi,2013,16210,790.39,33.46,3300000,14366.0,28399.52
West Godavari,Cotton,Rabi,2011,25159,738.81,29.73,4300000,14289.92,38716.92
Visakhapatnam,Groundnut,Summer,2012,8564,643.06,32.03,3600000,15801.75,102870.07
Kurnool,Cotton,Summer,2019,42043,946.99,30.07,4200000,35408.97,55740.39
YSR Kadapa,Groundnut,Rabi,2021,22219,1095.49,37.47,3300000,24232.75,69686.48
West Godavari,Maize,Rabi,2012,28946,304.69,33.07,4300000,97705.54,268128.02
Sri Potti Sriramulu Nellore,Chilies,Rabi,2013,37587,1140.25,26.02,3100000,79422.88,17361.13
Anantapur,Sugarcane,Kharif,2015,4364,760.36,36.55,3300000,220361.28,558740.45
